关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接,股票代码,股票名称
600036,招商银行完成发行300亿元无固定期限资本债券,4月15日，招商银行（600036/03968）发布公告，本行近日在全国银行间债券市场发行了“2026年招商银行股份有限公司无固定期限资本债券（第一期）（债券通）”。 本期债券于2026年4月10日簿记建档，并于2026年4月14日完成发行。,2026-04-15 18:46:00,财中社,http://finance.eastmoney.com/a/202604153706085148.html,600036,招商银行
600036,银行行业资金流入榜：工商银行、招商银行等净流入资金居前,（数据宝） 银行行业资金流向排名 代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 601398 工商银行 1.75 0.09 31746.56 600036 招商银行 0.89 0.29 23399.13 601328 交通银行 1.29 0.50 20936.76,2026-04-20 16:42:00,证券时报网,http://finance.eastmoney.com/a/202604203710656830.html,600036,招商银行
600036,热度飙升！外资年内调研A股超1800次，聚焦硬科技,分行业看，Wind数据显示，截至一季度末，北向资金持仓市值排名前五的行业分别为电力设备、电子、有色金属、银行以及机械设备；个股方面，北向资金前十大重仓股分别为宁德时代（300750.SZ）、贵州茅台（600519.SH）、美的集团（000333.SZ）、招商银行（600036.SH,2026-04-22 17:47:18,界面新闻,http://finance.eastmoney.com/a/202604223714193190.html,600036,招商银行
600036,人工智能成“战略引擎” 银行AI人才争夺战白热化,招商银行（600036.SH）2025年年报显示，该行将营业收入的4.31%，超过129亿元，投入信息科技领域，保持高强度科技投入态势。,2026-04-25 02:43:08,中国经营网,http://finance.eastmoney.com/a/202604253718631221.html,600036,招商银行
600036,涨幅超A股 四大行H股盘中集体创新高 谁在买？,股息率方面，Wind数据显示，截至4月23日，六大行以及中信银行的H股股息率都要高于A股股息率，仅招商银行（600036.SH、3968.HK）的A股股息率高于H股。,2026-04-23 19:48:42,界面新闻,http://finance.eastmoney.com/a/202604233716376189.html,600036,招商银行
600036,银行行业今日净流出资金5.99亿元，工商银行等6股净流出资金超5000万元,0.00 0.39 1246.70 601818 光大银行 -0.31 0.27 1261.61 601077 渝农商行 -0.14 0.42 1758.79 600016 民生银行 -0.27 0.37 3186.44 601838 成都银行 -0.69 0.47 4374.81 600036,2026-04-16 17:41:00,证券时报网,http://finance.eastmoney.com/a/202604163707532587.html,600036,招商银行
000333,000333 拟派现286亿+不超过130亿回购,3月30日晚间，超5400亿元市值行业龙头美的集团发布2025年年报。公司实现营业总收入4585亿元，同比增长12.1%；归属于上市公司股东的净利润439.5亿元，同比上升14%，营收、净利再创新高。 营收、利润均实现双位数增长 2025年，美的集团收入和利润实现双位数增长,2026-03-30 23:13:00,上海证券报,http://finance.eastmoney.com/a/202603303689271092.html,000333,美的集团
000333,2803家公司公布派现方案 合计派现13941.01亿元,中国银行 1.1690 376.67 15.50 银行 600519 贵州茅台 279.9300 350.33 42.56 食品饮料 601318 中国平安 17.5000 316.88 23.51 非银金融 300750 宁德时代 69.5700 315.30 43.67 电力设备 000333,2026-04-27 09:34:00,证券时报网,http://finance.eastmoney.com/a/202604273719697283.html,000333,美的集团
000333,2442家公司公布派现方案 合计派现13315.43亿元,中国银行 1.1690 376.67 15.50 银行 600519 贵州茅台 279.9300 350.33 42.56 食品饮料 601318 中国平安 17.5000 316.88 23.51 非银金融 300750 宁德时代 69.5700 315.30 43.67 电力设备 000333,2026-04-24 09:24:00,证券时报网,http://finance.eastmoney.com/a/202604243717416657.html,000333,美的集团
000333,供应链生态整合：国产机器人电子架构联合体成立,大会同期举办了“机器人硬件的技术突破、收敛、可靠与降本”专题讨论，哈尔滨工业大学、美的集团（000333.SZ）、东土科技、兆威机电（003021.SZ）、海康集团等产学研代表齐聚一堂，就构建国产电子架构的重要性、技术路径与产业协同进行了深入探讨。,2026-04-23 17:41:00,财中社,http://finance.eastmoney.com/a/202604233716156334.html,000333,美的集团
